Year,Name,State(s),Area_Burned,Deaths
1926,1926 bushfires,Victoria,390000,60
1939,Black Friday bushfires,Victoria,2000000,71
1944,1944 Victorian bushfires,Victoria,1000000,18
1952,1952 bushfires,Victoria,4000000,11
1955,Black Sunday bushfires,South Australia,100000,2
1961,1961 Western Australian bushfires,Western Australia,1800000,0
1965,1965 Bushfires,"Victoria, New South Wales, South Australia, Tasmania, Western Australia",566000,3
1967,Black Tuesday bushfires,Tasmania,264000,64
1969,1969 Bushfires,"Northern Territory, Victoria",40000000,23
1970,1969-70 Dry River-Victoria River fire,Northern Territory,45000000,0
1975,1974-75 Australian bushfire season,"New South Wales, Northern Territory, Queensland, South Australia, Western Australia",117000000,6
1977,1977 Bushfires,"Victoria, New South Wales, South Australia, Tasmania, Western Australia",157000,6
1978,1978 Western Australian bushfires,Western Australia,114000,2
1980,1980 Waterfall bushfire,New South Wales,1000000,0
1983,1983 Bushfires,"South Australia, New South Wales",418000,75
1984,1984 Western New South Wales grasslands bushfires,New South Wales,500000,0
1985,1985 Bushfires,"New South Wales, Victoria",4066800,8
1994,1994 Eastern seaboard fires,New South Wales,400000,4
1997,1997 Bushfires,"Western Australia, Victoria, New South Wales, ",33900,5
2002,2002 Bushfires,"New South Wales, Northern Territory",38754714,2
2003,2003 Bushfires,"Victoria, Western Australia",1475000,4
2005,2005 Eyre Peninsula bushfire,South Australia,77964,9
2006,2006 Bushfires,"New South Wales, Victoria",383000,6
2007,2007 Bushfires,"Victoria, New South Wales, South Australia, Tasmania, Western Australia",2555000,10
2009,Black Saturday bushfires,Victoria,450000,173
2013,2013 Bushfires,"Tasmania, New South Wales",174000,2
2012,Carnarvon bushfire complex,Western Australia,800000,0
2015,2015 Bushfires,"South Australia, Western Australia, New South Wales",466800,6
2016,2016 Murray Road bushfire (Waroona and Harvey),Western Australia,69165,2
2017,2017 New South Wales bushfires,New South Wales,52000,0
2019,Tingha bushfire,New South Wales,23419,0
2020,200 Australian bushfire season (Black Summer),Nationwide,18626000,0
2021,2021 Australian bushfire season,Nationwide,250000,0
